material_id,formula_pretty,facet,termination,site_label,site_kind,dE_Hstar_eV,dG_Hstar_eV,E_slab_eV,E_slabH_eV,E_H2_eV,slab_id,config_id,input_rel,mace_output_rel,abs_dG_Hstar_eV
mp-12608,CuPt7,(110),0,bridge_7,bridge,-0.24118328094482422,-0.0011832809448242276,-990.6047973632812,-994.105224609375,-6.518487930297852,mp-12608_h110_t0,mp-12608_h110_t0__bridge_7,ads_structures/mp-12608_h110_t0/bridge_7.vasp,mace_runs/h_ads/mp-12608_h110_t0__bridge_7,0.0011832809448242276
mp-12086,Cu3Pt,(100),1,bridge_0,bridge,-0.24461650848388672,-0.004616508483886728,-249.53955078125,-253.0434112548828,-6.518487930297852,mp-12086_h100_t1,mp-12086_h100_t1__bridge_0,ads_structures/mp-12086_h100_t1/bridge_0.vasp,mace_runs/h_ads/mp-12086_h100_t1__bridge_0,0.004616508483886728
mp-12086,Cu3Pt,(110),1,bridge_0,bridge,-0.23495769500732422,0.005042304992675772,-320.7094421386719,-324.2036437988281,-6.518487930297852,mp-12086_h110_t1,mp-12086_h110_t1__bridge_0,ads_structures/mp-12086_h110_t1/bridge_0.vasp,mace_runs/h_ads/mp-12086_h110_t1__bridge_0,0.005042304992675772
mp-1186117,NiPt3,(110),0,bridge_4,bridge,-0.23056316375732422,0.009436836242675772,-413.2362365722656,-416.7260437011719,-6.518487930297852,mp-1186117_h110_t0,mp-1186117_h110_t0__bridge_4,ads_structures/mp-1186117_h110_t0/bridge_4.vasp,mace_runs/h_ads/mp-1186117_h110_t0__bridge_4,0.009436836242675772
mp-12086,Cu3Pt,(100),1,bridge_1,bridge,-0.2506284713745117,-0.010628471374511728,-249.53955078125,-253.04942321777344,-6.518487930297852,mp-12086_h100_t1,mp-12086_h100_t1__bridge_1,ads_structures/mp-12086_h100_t1/bridge_1.vasp,mace_runs/h_ads/mp-12086_h100_t1__bridge_1,0.010628471374511728
mp-1184054,CuNi3,(100),0,ontop_1,ontop,-0.21701335906982422,0.022986640930175772,-650.7646484375,-654.2409057617188,-6.518487930297852,mp-1184054_h100_t0,mp-1184054_h100_t0__ontop_1,ads_structures/mp-1184054_h100_t0/ontop_1.vasp,mace_runs/h_ads/mp-1184054_h100_t0__ontop_1,0.022986640930175772
mp-1184054,CuNi3,(100),0,ontop_2,ontop,-0.20993328094482422,0.030066719055175772,-650.7646484375,-654.2338256835938,-6.518487930297852,mp-1184054_h100_t0,mp-1184054_h100_t0__ontop_2,ads_structures/mp-1184054_h100_t0/ontop_2.vasp,mace_runs/h_ads/mp-1184054_h100_t0__ontop_2,0.030066719055175772
mp-1186117,NiPt3,(110),1,bridge_1,bridge,-0.20837688446044922,0.03162311553955077,-412.6534118652344,-416.12103271484375,-6.518487930297852,mp-1186117_h110_t1,mp-1186117_h110_t1__bridge_1,ads_structures/mp-1186117_h110_t1/bridge_1.vasp,mace_runs/h_ads/mp-1186117_h110_t1__bridge_1,0.03162311553955077
mp-12086,Cu3Pt,(110),1,bridge_4,bridge,-0.20315837860107422,0.03684162139892577,-320.7094421386719,-324.1718444824219,-6.518487930297852,mp-12086_h110_t1,mp-12086_h110_t1__bridge_4,ads_structures/mp-12086_h110_t1/bridge_4.vasp,mace_runs/h_ads/mp-12086_h110_t1__bridge_4,0.03684162139892577
mp-12086,Cu3Pt,(110),0,ontop_1,ontop,-0.2796659469604492,-0.03966594696044923,-327.6285400390625,-331.1674499511719,-6.518487930297852,mp-12086_h110_t0,mp-12086_h110_t0__ontop_1,ads_structures/mp-12086_h110_t0/ontop_1.vasp,mace_runs/h_ads/mp-12086_h110_t0__ontop_1,0.03966594696044923
mp-12086,Cu3Pt,(111),0,ontop_0,ontop,-0.2812223434448242,-0.04122234344482423,-438.11614990234375,-441.6566162109375,-6.518487930297852,mp-12086_h111_t0,mp-12086_h111_t0__ontop_0,ads_structures/mp-12086_h111_t0/ontop_0.vasp,mace_runs/h_ads/mp-12086_h111_t0__ontop_0,0.04122234344482423
mp-12086,Cu3Pt,(111),0,hollow_3,hollow,-0.2836942672729492,-0.04369426727294923,-438.11614990234375,-441.6590881347656,-6.518487930297852,mp-12086_h111_t0,mp-12086_h111_t0__hollow_3,ads_structures/mp-12086_h111_t0/hollow_3.vasp,mace_runs/h_ads/mp-12086_h111_t0__hollow_3,0.04369426727294923
mp-1225687,CuNi,(110),0,hollow_0,hollow,-0.2839994430541992,-0.04399944305419923,-374.89495849609375,-378.4382019042969,-6.518487930297852,mp-1225687_h110_t0,mp-1225687_h110_t0__hollow_0,ads_structures/mp-1225687_h110_t0/hollow_0.vasp,mace_runs/h_ads/mp-1225687_h110_t0__hollow_0,0.04399944305419923
mp-1225687,CuNi,(100),0,bridge_6,bridge,-0.2883024215698242,-0.04830242156982423,-677.5707397460938,-681.1182861328125,-6.518487930297852,mp-1225687_h100_t0,mp-1225687_h100_t0__bridge_6,ads_structures/mp-1225687_h100_t0/bridge_6.vasp,mace_runs/h_ads/mp-1225687_h100_t0__bridge_6,0.04830242156982423
mp-945,NiPt,(100),1,bridge_2,bridge,-0.29030132293704014,-0.05030132293704015,-204.47950744628903,-208.029052734375,-6.518487930297852,mp-945_h100_t1,mp-945_h100_t1__bridge_2,ads_structures/mp-945_h100_t1/bridge_2.vasp,mace_runs/h_ads/mp-945_h100_t1__bridge_2,0.05030132293704015
mp-1184054,CuNi3,(110),0,ontop_0,ontop,-0.18704509735107422,0.05295490264892577,-360.6070861816406,-364.0533752441406,-6.518487930297852,mp-1184054_h110_t0,mp-1184054_h110_t0__ontop_0,ads_structures/mp-1184054_h110_t0/ontop_0.vasp,mace_runs/h_ads/mp-1184054_h110_t0__ontop_0,0.05295490264892577
mp-1186117,NiPt3,(110),0,bridge_1,bridge,-0.18628215789794922,0.05371784210205077,-413.2362365722656,-416.6817626953125,-6.518487930297852,mp-1186117_h110_t0,mp-1186117_h110_t0__bridge_1,ads_structures/mp-1186117_h110_t0/bridge_1.vasp,mace_runs/h_ads/mp-1186117_h110_t0__bridge_1,0.05371784210205077
mp-12086,Cu3Pt,(100),0,ontop_1,ontop,-0.2994108200073242,-0.05941082000732423,-258.4350280761719,-261.9936828613281,-6.518487930297852,mp-12086_h100_t0,mp-12086_h100_t0__ontop_1,ads_structures/mp-12086_h100_t0/ontop_1.vasp,mace_runs/h_ads/mp-12086_h100_t0__ontop_1,0.05941082000732423
mp-12086,Cu3Pt,(100),1,bridge_2,bridge,-0.17805767059326172,0.06194232940673827,-249.53955078125,-252.9768524169922,-6.518487930297852,mp-12086_h100_t1,mp-12086_h100_t1__bridge_2,ads_structures/mp-12086_h100_t1/bridge_2.vasp,mace_runs/h_ads/mp-12086_h100_t1__bridge_2,0.06194232940673827
mp-1225687,CuNi,(111),1,hollow_6,hollow,-0.3166837692260742,-0.07668376922607423,-1102.604736328125,-1106.1806640625,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__hollow_6,ads_structures/mp-1225687_h111_t1/hollow_6.vasp,mace_runs/h_ads/mp-1225687_h111_t1__hollow_6,0.07668376922607423
mp-12798,Ni3Pt,(100),0,ontop_0,ontop,-0.16293621063232422,0.07706378936767577,-318.833740234375,-322.25592041015625,-6.518487930297852,mp-12798_h100_t0,mp-12798_h100_t0__ontop_0,ads_structures/mp-12798_h100_t0/ontop_0.vasp,mace_runs/h_ads/mp-12798_h100_t0__ontop_0,0.07706378936767577
mp-1225687,CuNi,(111),0,bridge_14,bridge,-0.3269376754760742,-0.08693767547607423,-1106.4576416015625,-1110.0438232421875,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_14,ads_structures/mp-1225687_h111_t0/bridge_14.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_14,0.08693767547607423
mp-12608,CuPt7,(110),0,bridge_5,bridge,-0.15152263641357422,0.08847736358642577,-990.6047973632812,-994.0155639648438,-6.518487930297852,mp-12608_h110_t0,mp-12608_h110_t0__bridge_5,ads_structures/mp-12608_h110_t0/bridge_5.vasp,mace_runs/h_ads/mp-12608_h110_t0__bridge_5,0.08847736358642577
mp-12086,Cu3Pt,(111),0,ontop_1,ontop,-0.3332242965698242,-0.09322429656982423,-438.11614990234375,-441.7086181640625,-6.518487930297852,mp-12086_h111_t0,mp-12086_h111_t0__ontop_1,ads_structures/mp-12086_h111_t0/ontop_1.vasp,mace_runs/h_ads/mp-12086_h111_t0__ontop_1,0.09322429656982423
mp-12798,Ni3Pt,(111),0,ontop_0,ontop,-0.14676189422607422,0.09323810577392577,-546.6094360351562,-550.0154418945312,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__ontop_0,ads_structures/mp-12798_h111_t0/ontop_0.vasp,mace_runs/h_ads/mp-12798_h111_t0__ontop_0,0.09323810577392577
mp-1225687,CuNi,(111),1,bridge_10,bridge,-0.3435392379760742,-0.10353923797607423,-1102.604736328125,-1106.20751953125,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__bridge_10,ads_structures/mp-1225687_h111_t1/bridge_10.vasp,mace_runs/h_ads/mp-1225687_h111_t1__bridge_10,0.10353923797607423
mp-1225687,CuNi,(111),1,bridge_11,bridge,-0.3452482223510742,-0.10524822235107423,-1102.604736328125,-1106.209228515625,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__bridge_11,ads_structures/mp-1225687_h111_t1/bridge_11.vasp,mace_runs/h_ads/mp-1225687_h111_t1__bridge_11,0.10524822235107423
mp-12608,CuPt7,(110),0,bridge_3,bridge,-0.3459806442260742,-0.10598064422607423,-990.6047973632812,-994.2100219726562,-6.518487930297852,mp-12608_h110_t0,mp-12608_h110_t0__bridge_3,ads_structures/mp-12608_h110_t0/bridge_3.vasp,mace_runs/h_ads/mp-12608_h110_t0__bridge_3,0.10598064422607423
mp-945,NiPt,(100),0,bridge_2,bridge,-0.34802532196047764,-0.10802532196047765,-206.690185546875,-210.2974548339844,-6.518487930297852,mp-945_h100_t0,mp-945_h100_t0__bridge_2,ads_structures/mp-945_h100_t0/bridge_2.vasp,mace_runs/h_ads/mp-945_h100_t0__bridge_2,0.10802532196047765
mp-1225687,CuNi,(111),0,bridge_1,bridge,-0.3482999801635742,-0.10829998016357423,-1106.4576416015625,-1110.065185546875,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_1,ads_structures/mp-1225687_h111_t0/bridge_1.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_1,0.10829998016357423
mp-1225687,CuNi,(111),1,hollow_1,hollow,-0.3487882614135742,-0.10878826141357423,-1102.604736328125,-1106.2127685546875,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__hollow_1,ads_structures/mp-1225687_h111_t1/hollow_1.vasp,mace_runs/h_ads/mp-1225687_h111_t1__hollow_1,0.10878826141357423
mp-12608,CuPt7,(110),0,bridge_2,bridge,-0.13101482391357422,0.10898517608642577,-990.6047973632812,-993.9950561523438,-6.518487930297852,mp-12608_h110_t0,mp-12608_h110_t0__bridge_2,ads_structures/mp-12608_h110_t0/bridge_2.vasp,mace_runs/h_ads/mp-12608_h110_t0__bridge_2,0.10898517608642577
mp-945,NiPt,(111),1,bridge_2,bridge,-0.3492460250854492,-0.10924602508544923,-342.5733642578125,-346.1818542480469,-6.518487930297852,mp-945_h111_t1,mp-945_h111_t1__bridge_2,ads_structures/mp-945_h111_t1/bridge_2.vasp,mace_runs/h_ads/mp-945_h111_t1__bridge_2,0.10924602508544923
mp-644311,CuPt,(111),1,bridge_8,bridge,-0.3514738082885742,-0.11147380828857423,-1049.5762939453125,-1053.18701171875,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__bridge_8,ads_structures/mp-644311_h111_t1/bridge_8.vasp,mace_runs/h_ads/mp-644311_h111_t1__bridge_8,0.11147380828857423
mp-12608,CuPt7,(110),1,ontop_2,ontop,-0.3523283004760742,-0.11232830047607423,-987.6514282226562,-991.2630004882812,-6.518487930297852,mp-12608_h110_t1,mp-12608_h110_t1__ontop_2,ads_structures/mp-12608_h110_t1/ontop_2.vasp,mace_runs/h_ads/mp-12608_h110_t1__ontop_2,0.11232830047607423
mp-1225687,CuNi,(100),0,bridge_7,bridge,-0.3528165817260742,-0.11281658172607423,-677.5707397460938,-681.1828002929688,-6.518487930297852,mp-1225687_h100_t0,mp-1225687_h100_t0__bridge_7,ads_structures/mp-1225687_h100_t0/bridge_7.vasp,mace_runs/h_ads/mp-1225687_h100_t0__bridge_7,0.11281658172607423
