slab_id,material_id,hkl,termination,slab_poscar_rel
mp-1184054_h100_t0,mp-1184054,100,0,slabs_raw/hkl_100/mp-1184054/mp-1184054_h100_t0.vasp
mp-1184054_h110_t0,mp-1184054,110,0,slabs_raw/hkl_110/mp-1184054/mp-1184054_h110_t0.vasp
mp-1184054_h110_t1,mp-1184054,110,1,slabs_raw/hkl_110/mp-1184054/mp-1184054_h110_t1.vasp
mp-1184054_h111_t0,mp-1184054,111,0,slabs_raw/hkl_111/mp-1184054/mp-1184054_h111_t0.vasp
mp-1184054_h111_t1,mp-1184054,111,1,slabs_raw/hkl_111/mp-1184054/mp-1184054_h111_t1.vasp
mp-1186117_h100_t0,mp-1186117,100,0,slabs_raw/hkl_100/mp-1186117/mp-1186117_h100_t0.vasp
mp-1186117_h100_t1,mp-1186117,100,1,slabs_raw/hkl_100/mp-1186117/mp-1186117_h100_t1.vasp
mp-1186117_h110_t0,mp-1186117,110,0,slabs_raw/hkl_110/mp-1186117/mp-1186117_h110_t0.vasp
mp-1186117_h110_t1,mp-1186117,110,1,slabs_raw/hkl_110/mp-1186117/mp-1186117_h110_t1.vasp
mp-1186117_h111_t0,mp-1186117,111,0,slabs_raw/hkl_111/mp-1186117/mp-1186117_h111_t0.vasp
mp-12086_h100_t0,mp-12086,100,0,slabs_raw/hkl_100/mp-12086/mp-12086_h100_t0.vasp
mp-12086_h100_t1,mp-12086,100,1,slabs_raw/hkl_100/mp-12086/mp-12086_h100_t1.vasp
mp-12086_h110_t0,mp-12086,110,0,slabs_raw/hkl_110/mp-12086/mp-12086_h110_t0.vasp
mp-12086_h110_t1,mp-12086,110,1,slabs_raw/hkl_110/mp-12086/mp-12086_h110_t1.vasp
mp-12086_h111_t0,mp-12086,111,0,slabs_raw/hkl_111/mp-12086/mp-12086_h111_t0.vasp
mp-1225687_h100_t0,mp-1225687,100,0,slabs_raw/hkl_100/mp-1225687/mp-1225687_h100_t0.vasp
mp-1225687_h110_t0,mp-1225687,110,0,slabs_raw/hkl_110/mp-1225687/mp-1225687_h110_t0.vasp
mp-1225687_h111_t0,mp-1225687,111,0,slabs_raw/hkl_111/mp-1225687/mp-1225687_h111_t0.vasp
mp-1225687_h111_t1,mp-1225687,111,1,slabs_raw/hkl_111/mp-1225687/mp-1225687_h111_t1.vasp
mp-12608_h110_t0,mp-12608,110,0,slabs_raw/hkl_110/mp-12608/mp-12608_h110_t0.vasp
mp-12608_h110_t1,mp-12608,110,1,slabs_raw/hkl_110/mp-12608/mp-12608_h110_t1.vasp
mp-12798_h100_t0,mp-12798,100,0,slabs_raw/hkl_100/mp-12798/mp-12798_h100_t0.vasp
mp-12798_h100_t1,mp-12798,100,1,slabs_raw/hkl_100/mp-12798/mp-12798_h100_t1.vasp
mp-12798_h110_t0,mp-12798,110,0,slabs_raw/hkl_110/mp-12798/mp-12798_h110_t0.vasp
mp-12798_h110_t1,mp-12798,110,1,slabs_raw/hkl_110/mp-12798/mp-12798_h110_t1.vasp
mp-12798_h111_t0,mp-12798,111,0,slabs_raw/hkl_111/mp-12798/mp-12798_h111_t0.vasp
mp-644311_h100_t0,mp-644311,100,0,slabs_raw/hkl_100/mp-644311/mp-644311_h100_t0.vasp
mp-644311_h110_t0,mp-644311,110,0,slabs_raw/hkl_110/mp-644311/mp-644311_h110_t0.vasp
mp-644311_h111_t0,mp-644311,111,0,slabs_raw/hkl_111/mp-644311/mp-644311_h111_t0.vasp
mp-644311_h111_t1,mp-644311,111,1,slabs_raw/hkl_111/mp-644311/mp-644311_h111_t1.vasp
mp-945_h100_t0,mp-945,100,0,slabs_raw/hkl_100/mp-945/mp-945_h100_t0.vasp
mp-945_h100_t1,mp-945,100,1,slabs_raw/hkl_100/mp-945/mp-945_h100_t1.vasp
mp-945_h110_t0,mp-945,110,0,slabs_raw/hkl_110/mp-945/mp-945_h110_t0.vasp
mp-945_h111_t0,mp-945,111,0,slabs_raw/hkl_111/mp-945/mp-945_h111_t0.vasp
mp-945_h111_t1,mp-945,111,1,slabs_raw/hkl_111/mp-945/mp-945_h111_t1.vasp
