kind,config_id,input_rel,mace_output_rel,final_energy_eV,slab_id,label
bare_slab,mp-1184054_h100_t0,slabs_fixed/mp-1184054_h100_t0.vasp,mace_runs/bare_slabs/mp-1184054_h100_t0,-650.7646484375,,
bare_slab,mp-1184054_h110_t0,slabs_fixed/mp-1184054_h110_t0.vasp,mace_runs/bare_slabs/mp-1184054_h110_t0,-360.6070861816406,,
bare_slab,mp-1184054_h110_t1,slabs_fixed/mp-1184054_h110_t1.vasp,mace_runs/bare_slabs/mp-1184054_h110_t1,-360.8217468261719,,
bare_slab,mp-1184054_h111_t0,slabs_fixed/mp-1184054_h111_t0.vasp,mace_runs/bare_slabs/mp-1184054_h111_t0,-936.176513671875,,
bare_slab,mp-1184054_h111_t1,slabs_fixed/mp-1184054_h111_t1.vasp,mace_runs/bare_slabs/mp-1184054_h111_t1,-935.781982421875,,
bare_slab,mp-1186117_h100_t0,slabs_fixed/mp-1186117_h100_t0.vasp,mace_runs/bare_slabs/mp-1186117_h100_t0,-325.1659240722656,,
bare_slab,mp-1186117_h100_t1,slabs_fixed/mp-1186117_h100_t1.vasp,mace_runs/bare_slabs/mp-1186117_h100_t1,-322.5931091308594,,
bare_slab,mp-1186117_h110_t0,slabs_fixed/mp-1186117_h110_t0.vasp,mace_runs/bare_slabs/mp-1186117_h110_t0,-413.2362365722656,,
bare_slab,mp-1186117_h110_t1,slabs_fixed/mp-1186117_h110_t1.vasp,mace_runs/bare_slabs/mp-1186117_h110_t1,-412.6534118652344,,
bare_slab,mp-1186117_h111_t0,slabs_fixed/mp-1186117_h111_t0.vasp,mace_runs/bare_slabs/mp-1186117_h111_t0,-559.1781616210938,,
bare_slab,mp-12086_h100_t0,slabs_fixed/mp-12086_h100_t0.vasp,mace_runs/bare_slabs/mp-12086_h100_t0,-258.4350280761719,,
bare_slab,mp-12086_h100_t1,slabs_fixed/mp-12086_h100_t1.vasp,mace_runs/bare_slabs/mp-12086_h100_t1,-249.53955078125,,
bare_slab,mp-12086_h110_t0,slabs_fixed/mp-12086_h110_t0.vasp,mace_runs/bare_slabs/mp-12086_h110_t0,-327.6285400390625,,
bare_slab,mp-12086_h110_t1,slabs_fixed/mp-12086_h110_t1.vasp,mace_runs/bare_slabs/mp-12086_h110_t1,-320.7094421386719,,
bare_slab,mp-12086_h111_t0,slabs_fixed/mp-12086_h111_t0.vasp,mace_runs/bare_slabs/mp-12086_h111_t0,-438.11614990234375,,
bare_slab,mp-1225687_h100_t0,slabs_fixed/mp-1225687_h100_t0.vasp,mace_runs/bare_slabs/mp-1225687_h100_t0,-677.5707397460938,,
bare_slab,mp-1225687_h110_t0,slabs_fixed/mp-1225687_h110_t0.vasp,mace_runs/bare_slabs/mp-1225687_h110_t0,-374.89495849609375,,
bare_slab,mp-1225687_h111_t0,slabs_fixed/mp-1225687_h111_t0.vasp,mace_runs/bare_slabs/mp-1225687_h111_t0,-1106.4576416015625,,
bare_slab,mp-1225687_h111_t1,slabs_fixed/mp-1225687_h111_t1.vasp,mace_runs/bare_slabs/mp-1225687_h111_t1,-1102.604736328125,,
bare_slab,mp-12608_h110_t0,slabs_fixed/mp-12608_h110_t0.vasp,mace_runs/bare_slabs/mp-12608_h110_t0,-990.6047973632812,,
bare_slab,mp-12608_h110_t1,slabs_fixed/mp-12608_h110_t1.vasp,mace_runs/bare_slabs/mp-12608_h110_t1,-987.6514282226562,,
bare_slab,mp-12798_h100_t0,slabs_fixed/mp-12798_h100_t0.vasp,mace_runs/bare_slabs/mp-12798_h100_t0,-318.833740234375,,
bare_slab,mp-12798_h100_t1,slabs_fixed/mp-12798_h100_t1.vasp,mace_runs/bare_slabs/mp-12798_h100_t1,-312.3588562011719,,
bare_slab,mp-12798_h110_t0,slabs_fixed/mp-12798_h110_t0.vasp,mace_runs/bare_slabs/mp-12798_h110_t0,-404.9260559082031,,
bare_slab,mp-12798_h110_t1,slabs_fixed/mp-12798_h110_t1.vasp,mace_runs/bare_slabs/mp-12798_h110_t1,-400.9180603027344,,
bare_slab,mp-12798_h111_t0,slabs_fixed/mp-12798_h111_t0.vasp,mace_runs/bare_slabs/mp-12798_h111_t0,-546.6094360351562,,
bare_slab,mp-644311_h100_t0,slabs_fixed/mp-644311_h100_t0.vasp,mace_runs/bare_slabs/mp-644311_h100_t0,-723.3525390625,,
bare_slab,mp-644311_h110_t0,slabs_fixed/mp-644311_h110_t0.vasp,mace_runs/bare_slabs/mp-644311_h110_t0,-357.981689453125,,
bare_slab,mp-644311_h111_t0,slabs_fixed/mp-644311_h111_t0.vasp,mace_runs/bare_slabs/mp-644311_h111_t0,-1055.9166259765625,,
bare_slab,mp-644311_h111_t1,slabs_fixed/mp-644311_h111_t1.vasp,mace_runs/bare_slabs/mp-644311_h111_t1,-1049.5762939453125,,
bare_slab,mp-945_h100_t0,slabs_fixed/mp-945_h100_t0.vasp,mace_runs/bare_slabs/mp-945_h100_t0,-206.690185546875,,
bare_slab,mp-945_h100_t1,slabs_fixed/mp-945_h100_t1.vasp,mace_runs/bare_slabs/mp-945_h100_t1,-204.47950744628906,,
bare_slab,mp-945_h110_t0,slabs_fixed/mp-945_h110_t0.vasp,mace_runs/bare_slabs/mp-945_h110_t0,-322.9041748046875,,
bare_slab,mp-945_h111_t0,slabs_fixed/mp-945_h111_t0.vasp,mace_runs/bare_slabs/mp-945_h111_t0,-343.8661804199219,,
bare_slab,mp-945_h111_t1,slabs_fixed/mp-945_h111_t1.vasp,mace_runs/bare_slabs/mp-945_h111_t1,-342.5733642578125,,
h_ads,mp-1184054_h100_t0__ontop_0,ads_structures/mp-1184054_h100_t0/ontop_0.vasp,mace_runs/h_ads/mp-1184054_h100_t0__ontop_0,-653.9306640625,mp-1184054_h100_t0,ontop_0
h_ads,mp-1184054_h100_t0__ontop_1,ads_structures/mp-1184054_h100_t0/ontop_1.vasp,mace_runs/h_ads/mp-1184054_h100_t0__ontop_1,-654.2409057617188,mp-1184054_h100_t0,ontop_1
h_ads,mp-1184054_h100_t0__ontop_2,ads_structures/mp-1184054_h100_t0/ontop_2.vasp,mace_runs/h_ads/mp-1184054_h100_t0__ontop_2,-654.2338256835938,mp-1184054_h100_t0,ontop_2
h_ads,mp-1184054_h100_t0__bridge_0,ads_structures/mp-1184054_h100_t0/bridge_0.vasp,mace_runs/h_ads/mp-1184054_h100_t0__bridge_0,-654.697998046875,mp-1184054_h100_t0,bridge_0
h_ads,mp-1184054_h100_t0__bridge_1,ads_structures/mp-1184054_h100_t0/bridge_1.vasp,mace_runs/h_ads/mp-1184054_h100_t0__bridge_1,-654.5673217773438,mp-1184054_h100_t0,bridge_1
