      Step     Time          Energy          fmax
BFGS:    0 22:03:50     -454.968384        3.139480
BFGS:    1 22:03:50     -454.954346        4.629507
BFGS:    2 22:03:50     -455.066833        1.553632
BFGS:    3 22:03:51     -455.113953        1.125010
BFGS:    4 22:03:51     -455.156494        1.160877
BFGS:    5 22:03:51     -455.189453        0.523576
BFGS:    6 22:03:51     -455.206787        0.341755
BFGS:    7 22:03:51     -455.224976        0.392707
BFGS:    8 22:03:51     -455.243622        0.427090
BFGS:    9 22:03:51     -455.262909        0.283429
BFGS:   10 22:03:51     -455.282257        0.202557
BFGS:   11 22:03:51     -455.300201        0.274267
BFGS:   12 22:03:51     -455.313263        0.274471
BFGS:   13 22:03:51     -455.322174        0.184011
BFGS:   14 22:03:51     -455.329590        0.189682
BFGS:   15 22:03:52     -455.338074        0.198763
BFGS:   16 22:03:52     -455.349091        0.214980
BFGS:   17 22:03:52     -455.360382        0.204796
BFGS:   18 22:03:52     -455.366852        0.155474
BFGS:   19 22:03:52     -455.370850        0.124286
BFGS:   20 22:03:52     -455.373322        0.101225
BFGS:   21 22:03:52     -455.375977        0.091895
BFGS:   22 22:03:53     -455.378052        0.060021
BFGS:   23 22:03:53     -455.379211        0.071002
BFGS:   24 22:03:53     -455.380066        0.089786
BFGS:   25 22:03:53     -455.381042        0.098448
BFGS:   26 22:03:53     -455.382446        0.077017
BFGS:   27 22:03:53     -455.384277        0.071066
BFGS:   28 22:03:53     -455.386688        0.085034
BFGS:   29 22:03:53     -455.389008        0.072048
BFGS:   30 22:03:53     -455.390930        0.061999
BFGS:   31 22:03:53     -455.392120        0.053531
BFGS:   32 22:03:53     -455.393219        0.040969
