      Step     Time          Energy          fmax
BFGS:    0 21:59:47     -438.411682        2.145782
BFGS:    1 21:59:47     -438.825775        1.898813
BFGS:    2 21:59:48     -439.069427        1.685560
BFGS:    3 21:59:48     -439.239990        1.613161
BFGS:    4 21:59:48     -439.650055        1.439500
BFGS:    5 21:59:48     -439.859253        1.138590
BFGS:    6 21:59:48     -439.999939        0.705471
BFGS:    7 21:59:48     -440.168854        0.501638
BFGS:    8 21:59:48     -440.222351        0.479026
BFGS:    9 21:59:48     -440.306305        0.383663
BFGS:   10 21:59:48     -440.343445        0.340941
BFGS:   11 21:59:48     -440.372650        0.305818
BFGS:   12 21:59:48     -440.395172        0.243033
BFGS:   13 21:59:48     -440.416107        0.244276
BFGS:   14 21:59:48     -440.444550        0.208699
BFGS:   15 21:59:48     -440.465454        0.196792
BFGS:   16 21:59:48     -440.482880        0.186123
BFGS:   17 21:59:48     -440.497864        0.150313
BFGS:   18 21:59:49     -440.507355        0.119317
BFGS:   19 21:59:49     -440.511841        0.093080
BFGS:   20 21:59:49     -440.514618        0.070684
BFGS:   21 21:59:49     -440.517273        0.058880
BFGS:   22 21:59:49     -440.519623        0.071296
BFGS:   23 21:59:49     -440.522125        0.085966
BFGS:   24 21:59:49     -440.524536        0.074909
BFGS:   25 21:59:49     -440.526642        0.078464
BFGS:   26 21:59:49     -440.528381        0.082440
BFGS:   27 21:59:49     -440.529846        0.081767
BFGS:   28 21:59:49     -440.531952        0.080232
BFGS:   29 21:59:49     -440.534637        0.062502
BFGS:   30 21:59:49     -440.537018        0.059627
BFGS:   31 21:59:49     -440.538818        0.058078
BFGS:   32 21:59:49     -440.540527        0.063293
BFGS:   33 21:59:49     -440.542358        0.065927
BFGS:   34 21:59:49     -440.544403        0.058493
BFGS:   35 21:59:49     -440.545807        0.067714
BFGS:   36 21:59:49     -440.546692        0.056994
BFGS:   37 21:59:49     -440.547546        0.038320
